Date,VXN Index
02/01/2020,16
03/01/2020,16.95
06/01/2020,17.19
07/01/2020,17.15
08/01/2020,16.93
09/01/2020,16.04
10/01/2020,16.48
13/01/2020,15.57
14/01/2020,15.83
15/01/2020,15.54
16/01/2020,14.95
17/01/2020,14.97
21/01/2020,16.22
22/01/2020,16.49
23/01/2020,16.23
24/01/2020,18.07
27/01/2020,21.46
28/01/2020,19.61
29/01/2020,19.57
30/01/2020,17.75
31/01/2020,21.33
03/02/2020,20.4
04/02/2020,18.45
05/02/2020,18.52
06/02/2020,18.41
07/02/2020,19.42
10/02/2020,19.31
11/02/2020,19.66
12/02/2020,18.04
13/02/2020,18.46
14/02/2020,17.95
18/02/2020,19.12
19/02/2020,18.58
20/02/2020,20.33
21/02/2020,22.46
24/02/2020,29.23
25/02/2020,31.03
26/02/2020,30.38
27/02/2020,41
28/02/2020,43.13
02/03/2020,35.1
03/03/2020,39.33
04/03/2020,33.54
05/03/2020,41.4
06/03/2020,43.97
09/03/2020,53.68
10/03/2020,47.43
11/03/2020,50.7
12/03/2020,67.83
13/03/2020,51.84
16/03/2020,80.08
17/03/2020,71.55
18/03/2020,74.22
19/03/2020,69.12
20/03/2020,63.85
23/03/2020,58.36
24/03/2020,56.95
25/03/2020,60.99
26/03/2020,57.6
27/03/2020,61.38
30/03/2020,55.04
31/03/2020,51.29
01/04/2020,54.29
02/04/2020,48.91
03/04/2020,44.87
06/04/2020,42.93
07/04/2020,44.69
08/04/2020,42.34
09/04/2020,41.36
10/04/2020,41.36
13/04/2020,41.34
14/04/2020,38.33
15/04/2020,40.85
16/04/2020,40.36
17/04/2020,38.37
20/04/2020,43.85
21/04/2020,45.37
22/04/2020,42.37
23/04/2020,41.66
24/04/2020,36.5
27/04/2020,35.26
28/04/2020,36.61
29/04/2020,32.85
30/04/2020,35.28
01/05/2020,37.76
04/05/2020,36.86
05/05/2020,35.37
06/05/2020,35.6
07/05/2020,33.58
08/05/2020,30.64
11/05/2020,28.82
12/05/2020,33.3
13/05/2020,36.12
14/05/2020,33.79
15/05/2020,33.49
18/05/2020,30.22
19/05/2020,30.74
20/05/2020,29.12
21/05/2020,30.73
22/05/2020,29.36
26/05/2020,29.42
27/05/2020,29.52
28/05/2020,29.68
29/05/2020,27.96
01/06/2020,28.99
02/06/2020,27.68
03/06/2020,27.45
04/06/2020,27.43
05/06/2020,25.53
08/06/2020,26.8
09/06/2020,28.7
10/06/2020,29.32
11/06/2020,36.81
12/06/2020,35.49
15/06/2020,33.67
16/06/2020,32.69
17/06/2020,32.91
18/06/2020,31.57
19/06/2020,32.54
22/06/2020,31.38
23/06/2020,31.23
24/06/2020,33.58
25/06/2020,31.81
26/06/2020,33.81
29/06/2020,32.3
30/06/2020,30.75
01/07/2020,29.51
02/07/2020,28.6
06/07/2020,30.2
07/07/2020,31.72
08/07/2020,31.05
09/07/2020,32.68
10/07/2020,32.02
13/07/2020,37.6
14/07/2020,37.61
15/07/2020,35.84
16/07/2020,34.42
17/07/2020,30.77
20/07/2020,30.91
21/07/2020,30.91
22/07/2020,30.46
23/07/2020,32.75
24/07/2020,32.61
27/07/2020,31.55
28/07/2020,31.83
29/07/2020,30.13
30/07/2020,30.2
31/07/2020,27.93
03/08/2020,29.27
04/08/2020,29.12
05/08/2020,28.5
06/08/2020,28.53
07/08/2020,29.76
10/08/2020,29.86
11/08/2020,31.87
12/08/2020,30.16
13/08/2020,29.84
14/08/2020,29.15
17/08/2020,27.73
18/08/2020,26.9
19/08/2020,28.88
20/08/2020,28.44
21/08/2020,28.62
24/08/2020,29.83
25/08/2020,29.11
26/08/2020,32.1
27/08/2020,33.32
28/08/2020,32.8
31/08/2020,34.55
01/09/2020,34.67
02/09/2020,36.8
03/09/2020,42.09
04/09/2020,41.74
08/09/2020,41.02
09/09/2020,38.25
10/09/2020,37.92
11/09/2020,35.27
14/09/2020,33.56
15/09/2020,33.79
16/09/2020,35.48
17/09/2020,36.27
18/09/2020,36.04
21/09/2020,36.43
22/09/2020,35.24
23/09/2020,37.25
24/09/2020,36.99
25/09/2020,34.93
28/09/2020,34.66
29/09/2020,35.25
30/09/2020,35.42
01/10/2020,34.99
02/10/2020,36.44
05/10/2020,35.67
06/10/2020,36.67
07/10/2020,35.61
08/10/2020,34.43
09/10/2020,32.6
12/10/2020,33.44
13/10/2020,34.48
14/10/2020,34.04
15/10/2020,34.54
16/10/2020,35.02
19/10/2020,36.14
20/10/2020,35.25
21/10/2020,35.08
22/10/2020,34.28
23/10/2020,33.45
26/10/2020,37.41
27/10/2020,36.56
28/10/2020,43.39
29/10/2020,40.08
30/10/2020,41.3
02/11/2020,40.9
03/11/2020,38.38
04/11/2020,33.36
05/11/2020,32.82
06/11/2020,30.01
09/11/2020,31.32
10/11/2020,32.53
11/11/2020,30.29
12/11/2020,30.91
13/11/2020,29.03
16/11/2020,27.37
17/11/2020,27.31
18/11/2020,27.47
19/11/2020,26.81
20/11/2020,26.91
23/11/2020,26.64
24/11/2020,25.99
25/11/2020,25.69
27/11/2020,26.12
30/11/2020,26.68
01/12/2020,27.41
02/12/2020,27.55
03/12/2020,27.39
04/12/2020,27.02
07/12/2020,27.2
08/12/2020,26.08
09/12/2020,29.32
10/12/2020,29.15
11/12/2020,29
14/12/2020,29.44
15/12/2020,28.1
16/12/2020,27.85
17/12/2020,27.04
18/12/2020,26.91
21/12/2020,28.35
22/12/2020,27.94
23/12/2020,27.33
24/12/2020,25.94
28/12/2020,25.91
29/12/2020,26.82
30/12/2020,26.29
31/12/2020,26.93
04/01/2021,30.13
05/01/2021,28.42
06/01/2021,29.27
07/01/2021,26.99
08/01/2021,27.93
11/01/2021,28.92
12/01/2021,28.33
13/01/2021,27.36
14/01/2021,28.55
15/01/2021,29.17
19/01/2021,27.71
20/01/2021,26.79
21/01/2021,27.01
22/01/2021,28.07
25/01/2021,28.73
26/01/2021,29.2
27/01/2021,39.61
28/01/2021,35.05
29/01/2021,37.44
01/02/2021,34.24
02/02/2021,29.49
03/02/2021,29.03
04/02/2021,27.09
05/02/2021,25.46
08/02/2021,26.18
09/02/2021,26.6
10/02/2021,27.41
11/02/2021,27.07
12/02/2021,26.36
16/02/2021,28.52
17/02/2021,28.26
18/02/2021,27.59
19/02/2021,27.74
22/02/2021,31.02
23/02/2021,30.62
24/02/2021,28.67
25/02/2021,36.16
26/02/2021,34.06
01/03/2021,28.67
02/03/2021,30.11
03/03/2021,33.92
04/03/2021,34.83
05/03/2021,31.89
08/03/2021,33.87
09/03/2021,32.15
10/03/2021,31.52
11/03/2021,30.04
12/03/2021,30.1
15/03/2021,28.72
16/03/2021,29.27
17/03/2021,27.98
18/03/2021,30.61
19/03/2021,29.65
22/03/2021,26.7
23/03/2021,27.83
24/03/2021,28.97
25/03/2021,27.63
26/03/2021,25.64
29/03/2021,26.94
30/03/2021,26.39
31/03/2021,24.89
01/04/2021,23.21
02/04/2021,23.21
05/04/2021,23.93
06/04/2021,23.86
07/04/2021,23.43
08/04/2021,23.49
09/04/2021,23.23
12/04/2021,22.49
13/04/2021,22.11
14/04/2021,22.64
15/04/2021,21.68
16/04/2021,20.51
19/04/2021,22.82
20/04/2021,24.37
21/04/2021,22.82
22/04/2021,24
23/04/2021,22.32
26/04/2021,22.57
27/04/2021,22.71
28/04/2021,22.36
29/04/2021,22.42
30/04/2021,22.9
03/05/2021,23.34
04/05/2021,25.7
05/05/2021,25.66
06/05/2021,24.83
07/05/2021,22.79
10/05/2021,26.59
11/05/2021,27.86
12/05/2021,31.87
13/05/2021,29.02
14/05/2021,24.99
17/05/2021,25.59
18/05/2021,26.14
19/05/2021,26.66
20/05/2021,24.24
21/05/2021,24.3
24/05/2021,22.76
25/05/2021,23.4
26/05/2021,22.35
27/05/2021,22.12
28/05/2021,21.44
01/06/2021,22.68
02/06/2021,22.01
03/06/2021,23.25
04/06/2021,21.22
07/06/2021,21.37
08/06/2021,21.58
09/06/2021,22.01
10/06/2021,19.98
11/06/2021,19.16
14/06/2021,20.06
15/06/2021,20.93
16/06/2021,21.46
17/06/2021,20.35
18/06/2021,22.43
21/06/2021,20.78
22/06/2021,20
23/06/2021,19.82
24/06/2021,19.6
25/06/2021,19.31
28/06/2021,19.58
29/06/2021,20.09
30/06/2021,20.14
01/07/2021,20.07
02/07/2021,19.28
06/07/2021,21
07/07/2021,21.11
08/07/2021,23.6
09/07/2021,21.23
12/07/2021,19.68
13/07/2021,20.87
14/07/2021,19.99
15/07/2021,20.11
16/07/2021,21.06
19/07/2021,23.44
20/07/2021,21.68
21/07/2021,20.4
22/07/2021,19.78
23/07/2021,19.06
26/07/2021,20.37
27/07/2021,22.84
28/07/2021,20.96
29/07/2021,20.55
30/07/2021,20.81
02/08/2021,21.49
03/08/2021,20.52
04/08/2021,20.68
05/08/2021,20.19
06/08/2021,19.61
09/08/2021,19.69
10/08/2021,20.38
11/08/2021,20.45
12/08/2021,19.4
13/08/2021,18.52
16/08/2021,19.05
17/08/2021,21.17
18/08/2021,24.35
19/08/2021,23.52
20/08/2021,20.97
23/08/2021,19.8
24/08/2021,19.86
25/08/2021,19.6
26/08/2021,21.37
27/08/2021,18.54
30/08/2021,19.08
31/08/2021,19.48
01/09/2021,19.84
02/09/2021,20.03
03/09/2021,19.75
07/09/2021,20.96
08/09/2021,20.81
09/09/2021,21.45
10/09/2021,22.75
13/09/2021,21.6
14/09/2021,21.68
15/09/2021,20.12
16/09/2021,20.17
17/09/2021,22.27
20/09/2021,27.23
21/09/2021,26.42
22/09/2021,22.97
23/09/2021,21.22
24/09/2021,20.93
27/09/2021,21.83
28/09/2021,27.35
29/09/2021,26.71
30/09/2021,26.65
01/10/2021,24.84
04/10/2021,27.72
05/10/2021,25.45
06/10/2021,24.87
07/10/2021,23.22
08/10/2021,23.16
11/10/2021,23.49
12/10/2021,23.41
13/10/2021,21.23
14/10/2021,19.09
15/10/2021,18.51
18/10/2021,18.83
19/10/2021,18.31
20/10/2021,18.73
21/10/2021,18.63
22/10/2021,19.12
25/10/2021,18.8
26/10/2021,19.38
27/10/2021,20.12
28/10/2021,19.75
29/10/2021,19.64
01/11/2021,19.73
02/11/2021,19.73
03/11/2021,19.43
04/11/2021,20.26
05/11/2021,21.57
08/11/2021,21.88
09/11/2021,22.69
10/11/2021,23.27
11/11/2021,22.37
12/11/2021,21.42
15/11/2021,21.71
16/11/2021,21.28
17/11/2021,21.56
18/11/2021,21.39
19/11/2021,21.75
22/11/2021,23.5
23/11/2021,24.43
24/11/2021,23.82
26/11/2021,28.45
29/11/2021,24.63
30/11/2021,27.39
01/12/2021,30.95
02/12/2021,29.78
03/12/2021,33.41
06/12/2021,30.17
07/12/2021,25.79
08/12/2021,24.82
09/12/2021,26.42
10/12/2021,23.95
13/12/2021,24.04
14/12/2021,25.31
15/12/2021,23.42
16/12/2021,25.24
17/12/2021,26.55
20/12/2021,27.88
21/12/2021,24.96
22/12/2021,22.15
23/12/2021,21.32
24/12/2021,21.32
27/12/2021,21.72
28/12/2021,21.54
29/12/2021,21.28
30/12/2021,21.38
31/12/2021,21.2
03/01/2022,21.17
04/01/2022,22.32
05/01/2022,25.98
06/01/2022,25.81
07/01/2022,25.65
10/01/2022,25.83
11/01/2022,24.28
12/01/2022,23.44
13/01/2022,27.05
14/01/2022,25.72
18/01/2022,29.36
19/01/2022,29.02
20/01/2022,30.61
21/01/2022,34.06
24/01/2022,35.55
25/01/2022,38.2
26/01/2022,38.1
27/01/2022,36.64
28/01/2022,33.31
31/01/2022,30.16
01/02/2022,28
02/02/2022,29.58
03/02/2022,31.24
04/02/2022,30.32
07/02/2022,30.02
08/02/2022,28.33
09/02/2022,26.87
10/02/2022,30.07
11/02/2022,34.16
14/02/2022,34.07
15/02/2022,31.16
16/02/2022,29.45
17/02/2022,33.21
18/02/2022,33.05
22/02/2022,33.13
23/02/2022,35.27
24/02/2022,34.02
25/02/2022,31.19
28/02/2022,32.72
01/03/2022,35.22
02/03/2022,33.05
03/03/2022,33.34
04/03/2022,34.89
07/03/2022,38.73
08/03/2022,38.02
09/03/2022,35.34
10/03/2022,34.23
11/03/2022,34.85
14/03/2022,36.55
15/03/2022,34.65
16/03/2022,30.81
17/03/2022,29.51
18/03/2022,27.76
21/03/2022,28.66
22/03/2022,27.71
23/03/2022,28.84
24/03/2022,27.89
25/03/2022,27.34
28/03/2022,26.53
29/03/2022,25.87
30/03/2022,26.4
31/03/2022,26.99
01/04/2022,25.91
04/04/2022,24.93
05/04/2022,27.4
06/04/2022,28.91
07/04/2022,28.48
08/04/2022,28.06
11/04/2022,30.75
12/04/2022,30.38
13/04/2022,26.85
14/04/2022,28.86
18/04/2022,29.53
19/04/2022,29.1
20/04/2022,28.47
21/04/2022,31.37
22/04/2022,35.39
25/04/2022,33.83
26/04/2022,38.93
27/04/2022,36.91
28/04/2022,35.49
29/04/2022,38.25
02/05/2022,37.81
03/05/2022,36
04/05/2022,31.98
05/05/2022,37.19
06/05/2022,37.4
09/05/2022,41.43
10/05/2022,40.08
11/05/2022,40.67
12/05/2022,41.36
13/05/2022,37.61
16/05/2022,37.44
17/05/2022,33.88
18/05/2022,38.81
19/05/2022,36.15
20/05/2022,36.18
23/05/2022,35.18
24/05/2022,36.17
25/05/2022,35.38
26/05/2022,33.63
27/05/2022,32
31/05/2022,33.01
01/06/2022,32.6
02/06/2022,31.44
03/06/2022,31.75
06/06/2022,32.16
07/06/2022,31.03
08/06/2022,30.69
09/06/2022,32.73
10/06/2022,33.97
13/06/2022,40.36
14/06/2022,38.51
15/06/2022,35.35
16/06/2022,38.67
17/06/2022,36.66
21/06/2022,36.06
22/06/2022,35.94
23/06/2022,35.3
24/06/2022,33.77
27/06/2022,33.56
28/06/2022,35.43
29/06/2022,35.33
30/06/2022,36.21
01/07/2022,34.27
05/07/2022,34.86
06/07/2022,33.75
07/07/2022,32.81
08/07/2022,31.18
11/07/2022,32.93
12/07/2022,33.97
13/07/2022,33.67
14/07/2022,32.64
15/07/2022,30.39
18/07/2022,31.58
19/07/2022,30.66
20/07/2022,30.58
21/07/2022,29.31
22/07/2022,29.19
25/07/2022,29.42
26/07/2022,30.91
27/07/2022,29.59
28/07/2022,28.48
29/07/2022,27.25
01/08/2022,28.75
02/08/2022,30
03/08/2022,27.98
04/08/2022,27.81
05/08/2022,27.13
08/08/2022,27.65
09/08/2022,28.41
10/08/2022,25.72
11/08/2022,26.13
12/08/2022,25.18
15/08/2022,25.4
16/08/2022,25.55
17/08/2022,26.33
18/08/2022,25.52
19/08/2022,26.74
22/08/2022,29.65
23/08/2022,29.69
24/08/2022,28.96
25/08/2022,28.08
26/08/2022,31.72
29/08/2022,32.3
30/08/2022,32.12
31/08/2022,32.19
01/09/2022,32.26
02/09/2022,32.32
06/09/2022,33.59
07/09/2022,31.56
08/09/2022,30.48
09/09/2022,29.23
12/09/2022,29.81
13/09/2022,33.18
14/09/2022,32.57
15/09/2022,32.65
16/09/2022,32.83
19/09/2022,32.36
20/09/2022,33.3
21/09/2022,33.87
22/09/2022,32.92
23/09/2022,34.88
26/09/2022,36.93
27/09/2022,37.15
28/09/2022,35.51
29/09/2022,36.91
30/09/2022,36.61
03/10/2022,35.56
04/10/2022,34.42
05/10/2022,34.33
06/10/2022,35.84
07/10/2022,36.86
10/10/2022,38.57
11/10/2022,39.38
12/10/2022,39.51
13/10/2022,38.27
14/10/2022,37.75
17/10/2022,37.07
18/10/2022,36.11
19/10/2022,36.37
20/10/2022,35.77
21/10/2022,35.25
24/10/2022,35.5
25/10/2022,34.14
26/10/2022,33.28
27/10/2022,33.82
28/10/2022,31.86
31/10/2022,31.16
01/11/2022,31.99
02/11/2022,32.1
03/11/2022,31.79
04/11/2022,30.86
07/11/2022,30.84
08/11/2022,31.53
09/11/2022,32.49
10/11/2022,30.35
11/11/2022,28.97
14/11/2022,30.02
15/11/2022,30.3
16/11/2022,30.05
17/11/2022,30.02
18/11/2022,29.25
21/11/2022,29
22/11/2022,27.79
23/11/2022,26.66
25/11/2022,26.79
28/11/2022,28.31
29/11/2022,28.36
30/11/2022,26.46
01/12/2022,26.09
02/12/2022,24.78
05/12/2022,26.16
06/12/2022,27.53
07/12/2022,28.11
08/12/2022,27.59
09/12/2022,27.94
12/12/2022,30.06
13/12/2022,26.91
14/12/2022,25.75
15/12/2022,27.34
16/12/2022,27.33
19/12/2022,27.41
20/12/2022,26.65
21/12/2022,25.15
22/12/2022,27.35
23/12/2022,26.33
27/12/2022,27.78
28/12/2022,28.38
29/12/2022,27.36
30/12/2022,27.6
03/01/2023,29.11
04/01/2023,28.36
05/01/2023,28.81
06/01/2023,26.96
09/01/2023,27.86
10/01/2023,26.94
11/01/2023,27.34
12/01/2023,24.76
13/01/2023,23.82
17/01/2023,24.75
18/01/2023,25.51
19/01/2023,25.28
20/01/2023,24.54
23/01/2023,24.61
24/01/2023,24.55
25/01/2023,24.54
26/01/2023,25.01
27/01/2023,24.57
30/01/2023,26.25
31/01/2023,25.79
01/02/2023,24.04
02/02/2023,25.06
03/02/2023,25.4
06/02/2023,25.89
07/02/2023,25.46
08/02/2023,26.45
09/02/2023,27.64
10/02/2023,27.09
13/02/2023,27.26
14/02/2023,25.06
15/02/2023,24.09
